time_s,adc,target,integral,error,kp,ki,output_x100,duty
13.606946229934692,2179,2400,795,221,0.01,0.002,5380,54
13.715944051742554,2194,2400,815,206,0.01,0.002,5369,54
13.824943780899048,2173,2400,838,227,0.01,0.002,5395,54
13.933943748474121,2182,2400,860,218,0.01,0.002,5390,54
14.043038368225098,2199,2400,880,201,0.01,0.002,5377,54
14.152662515640259,2177,2400,902,223,0.01,0.002,5404,54
14.261675834655762,2185,2400,924,215,0.01,0.002,5400,54
14.370715856552124,2199,2400,944,201,0.01,0.002,5390,54
14.4795241355896,2181,2400,966,219,0.01,0.002,5412,54
14.587944269180298,2189,2400,987,211,0.01,0.002,5408,54
14.697019100189209,2190,2400,1008,210,0.01,0.002,5412,54
14.80558156967163,2205,2400,1027,195,0.01,0.002,5401,54
14.914580821990967,2184,2400,1049,216,0.01,0.002,5426,54
15.024089336395264,2199,2400,1069,201,0.01,0.002,5415,54
15.133068323135376,2191,2400,1090,209,0.01,0.002,5427,54
15.24206805229187,2199,2400,1110,201,0.01,0.002,5423,54
15.351110458374023,2193,2400,1131,207,0.01,0.002,5433,54
15.460110664367676,2198,2400,1151,202,0.01,0.002,5432,54
15.568633079528809,2196,2400,1171,204,0.01,0.002,5438,54
15.677631855010986,2197,2400,1192,203,0.01,0.002,5441,54
15.786647319793701,2200,2400,1212,200,0.01,0.002,5442,54
15.896155595779419,2217,2400,1230,183,0.01,0.002,5429,54
16.00522494316101,2196,2400,1250,204,0.01,0.002,5454,55
16.114222288131714,2204,2400,1270,196,0.01,0.002,5450,55
16.223486185073853,2221,2400,1288,179,0.01,0.002,5437,54
16.331843376159668,2220,2400,1306,180,0.01,0.002,5441,54
16.441753149032593,2201,2400,1326,199,0.01,0.002,5464,55
16.550753116607666,2205,2400,1345,195,0.01,0.002,5464,55
16.65975260734558,2208,2400,1364,192,0.01,0.002,5465,55
16.768813371658325,2209,2400,1383,191,0.01,0.002,5468,55
16.8778133392334,2211,2400,1402,189,0.01,0.002,5470,55
16.986663341522217,2213,2400,1421,187,0.01,0.002,5471,55
17.095361948013306,2212,2400,1440,188,0.01,0.002,5476,55
17.204373836517334,2218,2400,1458,182,0.01,0.002,5474,55
17.313374042510986,2214,2400,1477,186,0.01,0.002,5481,55
17.42237377166748,2218,2400,1495,182,0.01,0.002,5481,55
17.531419277191162,2216,2400,1513,184,0.01,0.002,5487,55
17.64050555229187,2238,2400,1529,162,0.01,0.002,5468,55
17.749537706375122,2213,2400,1548,187,0.01,0.002,5497,55
17.858738660812378,2225,2400,1566,175,0.01,0.002,5488,55
17.967344999313354,2237,2400,1582,163,0.01,0.002,5480,55
18.076346397399902,2218,2400,1600,182,0.01,0.002,5502,55
18.18538999557495,2228,2400,1617,172,0.01,0.002,5496,55
18.294389963150024,2243,2400,1633,157,0.01,0.002,5484,55
18.4034366607666,2217,2400,1651,183,0.01,0.002,5513,55
18.512781858444214,2230,2400,1668,170,0.01,0.002,5504,55
18.621918439865112,2243,2400,1684,157,0.01,0.002,5494,55
18.731173038482666,2221,2400,1702,179,0.01,0.002,5520,55
18.8400981426239,2235,2400,1718,165,0.01,0.002,5509,55
18.949140787124634,2246,2400,1734,154,0.01,0.002,5501,55
19.05768632888794,2226,2400,1751,174,0.01,0.002,5524,55
19.167194604873657,2234,2400,1768,166,0.01,0.002,5520,55
19.276220321655273,2236,2400,1784,164,0.01,0.002,5521,55
19.385263204574585,2235,2400,1801,165,0.01,0.002,5525,55
19.49439787864685,2239,2400,1817,161,0.01,0.002,5524,55
19.603744745254517,2235,2400,1833,165,0.01,0.002,5532,55
19.711984872817993,2236,2400,1850,164,0.01,0.002,5534,55
19.821281909942627,2235,2400,1866,165,0.01,0.002,5538,55
19.93028211593628,2241,2400,1882,159,0.01,0.002,5536,55
20.03928232192993,2258,2400,1896,142,0.01,0.002,5521,55
20.148309469223022,2234,2400,1913,166,0.01,0.002,5549,55
20.257336854934692,2249,2400,1928,151,0.01,0.002,5537,55
20.366061687469482,2259,2400,1942,141,0.01,0.002,5530,55
20.47508931159973,2238,2400,1958,162,0.01,0.002,5554,56
20.5847065448761,2245,2400,1974,155,0.01,0.002,5550,55
20.693342208862305,2261,2400,1988,139,0.01,0.002,5537,55
20.802674293518066,2256,2400,2002,144,0.01,0.002,5545,55
20.911678075790405,2259,2400,2016,141,0.01,0.002,5544,55
21.020442247390747,2241,2400,2032,159,0.01,0.002,5566,56
21.12967586517334,2251,2400,2047,149,0.01,0.002,5559,56
21.239022254943848,2248,2400,2062,152,0.01,0.002,5565,56
21.34802222251892,2246,2400,2078,154,0.01,0.002,5570,56
21.45702314376831,2253,2400,2092,147,0.01,0.002,5566,56
21.56609559059143,2254,2400,2107,146,0.01,0.002,5568,56
21.675114631652832,2253,2400,2122,147,0.01,0.002,5571,56
21.784116506576538,2253,2400,2136,147,0.01,0.002,5574,56
21.893380641937256,2251,2400,2151,149,0.01,0.002,5579,56
22.002379894256592,2259,2400,2165,141,0.01,0.002,5574,56
22.11138081550598,2270,2400,2178,130,0.01,0.002,5566,56
22.220413208007812,2267,2400,2192,133,0.01,0.002,5571,56
22.329413890838623,2253,2400,2206,147,0.01,0.002,5588,56
22.438470363616943,2277,2400,2219,123,0.01,0.002,5567,56
22.547470569610596,2268,2400,2232,132,0.01,0.002,5578,56
22.656469583511353,2257,2400,2246,143,0.01,0.002,5592,56
22.765730142593384,2275,2400,2259,125,0.01,0.002,5577,56
22.874226808547974,2273,2400,2271,127,0.01,0.002,5581,56
22.98322582244873,2273,2400,2284,127,0.01,0.002,5584,56
23.092227935791016,2259,2400,2298,141,0.01,0.002,5601,56
23.20126700401306,2266,2400,2312,134,0.01,0.002,5596,56
23.310267210006714,2265,2400,2325,135,0.01,0.002,5600,56
23.419267892837524,2280,2400,2337,120,0.01,0.002,5588,56
23.528355360031128,2277,2400,2349,123,0.01,0.002,5593,56
23.6373553276062,2278,2400,2362,122,0.01,0.002,5594,56
23.746355533599854,2262,2400,2375,138,0.01,0.002,5613,56
23.855355739593506,2267,2400,2389,133,0.01,0.002,5611,56
23.964391231536865,2270,2400,2402,130,0.01,0.002,5610,56
24.073391437530518,2270,2400,2415,130,0.01,0.002,5613,56
24.183133363723755,2268,2400,2428,132,0.01,0.002,5618,56
24.292133331298828,2272,2400,2441,128,0.01,0.002,5616,56
24.40052628517151,2274,2400,2453,126,0.01,0.002,5617,56
24.510494232177734,2274,2400,2466,126,0.01,0.002,5619,56
24.61949634552002,2272,2400,2479,128,0.01,0.002,5624,56
24.728115558624268,2273,2400,2491,127,0.01,0.002,5625,56
24.836581707000732,2277,2400,2504,123,0.01,0.002,5624,56
24.945582151412964,2271,2400,2517,129,0.01,0.002,5632,56
25.05558156967163,2293,2400,2527,107,0.01,0.002,5613,56
25.164582014083862,2285,2400,2539,115,0.01,0.002,5623,56
25.273089170455933,2276,2400,2551,124,0.01,0.002,5634,56
25.382089853286743,2277,2400,2563,123,0.01,0.002,5636,56
25.491090059280396,2298,2400,2574,102,0.01,0.002,5617,56
25.600645065307617,2272,2400,2586,128,0.01,0.002,5645,56
25.70954418182373,2303,2400,2596,97,0.01,0.002,5616,56
25.81854510307312,2274,2400,2609,126,0.01,0.002,5648,56
25.927544116973877,2287,2400,2620,113,0.01,0.002,5637,56
26.03677988052368,2283,2400,2632,117,0.01,0.002,5643,56
26.14574360847473,2299,2400,2642,101,0.01,0.002,5629,56
26.254743337631226,2274,2400,2654,126,0.01,0.002,5657,57
26.363815307617188,2289,2400,2666,111,0.01,0.002,5644,56
26.47281527519226,2297,2400,2676,103,0.01,0.002,5638,56
26.581328868865967,2282,2400,2688,118,0.01,0.002,5656,57
26.690329790115356,2290,2400,2699,110,0.01,0.002,5650,56
26.799328804016113,2286,2400,2710,114,0.01,0.002,5656,57
26.909099340438843,2290,2400,2721,110,0.01,0.002,5654,57
27.018099069595337,2286,2400,2732,114,0.01,0.002,5661,57
27.126607656478882,2289,2400,2744,111,0.01,0.002,5660,57
27.236095666885376,2289,2400,2755,111,0.01,0.002,5662,57
27.345094203948975,2290,2400,2766,110,0.01,0.002,5663,57
27.454094171524048,2290,2400,2777,110,0.01,0.002,5665,57
27.562891006469727,2291,2400,2788,109,0.01,0.002,5667,57
27.672311067581177,2295,2400,2798,105,0.01,0.002,5665,57
27.780783653259277,2288,2400,2809,112,0.01,0.002,5674,57
27.88978362083435,2293,2400,2820,107,0.01,0.002,5671,57
27.998784065246582,2294,2400,2831,106,0.01,0.002,5672,57
28.107898712158203,2294,2400,2841,106,0.01,0.002,5674,57
28.216934204101562,2294,2400,2852,106,0.01,0.002,5676,57
28.32593274116516,2297,2400,2862,103,0.01,0.002,5676,57
28.434983253479004,2302,2400,2872,98,0.01,0.002,5672,57
28.543983221054077,2309,2400,2881,91,0.01,0.002,5667,57
28.65398335456848,2295,2400,2892,105,0.01,0.002,5683,57
28.762204885482788,2300,2400,2902,100,0.01,0.002,5680,57
28.87120509147644,2315,2400,2910,85,0.01,0.002,5667,57
28.97988748550415,2293,2400,2921,107,0.01,0.002,5691,57
29.088922023773193,2300,2400,2931,100,0.01,0.002,5686,57
29.197219610214233,2300,2400,2941,100,0.01,0.002,5688,57
29.306666612625122,2302,2400,2951,98,0.01,0.002,5688,57
29.415666580200195,2299,2400,2961,101,0.01,0.002,5693,57
29.52466654777527,2300,2400,2971,100,0.01,0.002,5694,57
29.633666515350342,2314,2400,2979,86,0.01,0.002,5682,57
29.742666721343994,2296,2400,2990,104,0.01,0.002,5702,57
29.851670503616333,2304,2400,2999,96,0.01,0.002,5696,57
29.960919618606567,2303,2400,3009,97,0.01,0.002,5699,57
30.06991982460022,2305,2400,3018,95,0.01,0.002,5699,57
30.178428888320923,2319,2400,3027,81,0.01,0.002,5686,57
30.287428855895996,2301,2400,3036,99,0.01,0.002,5706,57
30.39744758605957,2310,2400,3045,90,0.01,0.002,5699,57
30.506448984146118,2305,2400,3055,95,0.01,0.002,5706,57
30.615466117858887,2309,2400,3064,91,0.01,0.002,5704,57
30.72346544265747,2306,2400,3073,94,0.01,0.002,5709,57
30.831761121749878,2325,2400,3081,75,0.01,0.002,5691,57
30.941203355789185,2302,2400,3091,98,0.01,0.002,5716,57
31.04930090904236,2313,2048,3064,-265,0.01,0.002,5348,53
31.15834069252014,2166,2048,3052,-118,0.01,0.002,5493,55
31.267340421676636,2239,2048,3033,-191,0.01,0.002,5416,54
31.37684440612793,2192,2048,3019,-144,0.01,0.002,5460,55
31.485844612121582,2211,2048,3003,-163,0.01,0.002,5438,54
31.594844579696655,2204,2048,2987,-156,0.01,0.002,5442,54
31.70384454727173,2202,2048,2972,-154,0.01,0.002,5440,54
31.813130378723145,2203,2048,2956,-155,0.01,0.002,5436,54
31.922131538391113,2218,2048,2939,-170,0.01,0.002,5418,54
32.03113126754761,2192,2048,2925,-144,0.01,0.002,5441,54
32.140180587768555,2203,2048,2909,-155,0.01,0.002,5427,54
32.24932670593262,2200,2048,2894,-152,0.01,0.002,5427,54
32.35832738876343,2196,2048,2879,-148,0.01,0.002,5428,54
32.46760439872742,2199,2048,2864,-151,0.01,0.002,5422,54
32.5763943195343,2210,2048,2848,-162,0.01,0.002,5408,54
32.68539381027222,2189,2048,2834,-141,0.01,0.002,5426,54
32.794434547424316,2197,2048,2819,-149,0.01,0.002,5415,54
32.90343427658081,2190,2048,2805,-142,0.01,0.002,5419,54
33.01243543624878,2192,2048,2790,-144,0.01,0.002,5414,54
33.12099766731262,2191,2048,2776,-143,0.01,0.002,5412,54
33.229997873306274,2204,2048,2760,-156,0.01,0.002,5396,54
33.3395037651062,2184,2048,2747,-136,0.01,0.002,5413,54
33.44850397109985,2188,2048,2733,-140,0.01,0.002,5407,54
33.55750107765198,2190,2048,2719,-142,0.01,0.002,5402,54
33.66649913787842,2186,2048,2705,-138,0.01,0.002,5403,54
33.77549934387207,2183,2048,2691,-135,0.01,0.002,5403,54
33.88459873199463,2186,2048,2678,-138,0.01,0.002,5398,54
33.9935986995697,2200,2048,2662,-152,0.01,0.002,5381,54
34.102917194366455,2177,2048,2649,-129,0.01,0.002,5401,54
34.2112877368927,2183,2048,2636,-135,0.01,0.002,5392,54
34.32034349441528,2183,2048,2622,-135,0.01,0.002,5390,54
34.43034362792969,2183,2048,2609,-135,0.01,0.002,5387,54
34.53943061828613,2183,2048,2595,-135,0.01,0.002,5384,54
34.64843130111694,2178,2048,2582,-130,0.01,0.002,5387,54
34.756431102752686,2181,2048,2569,-133,0.01,0.002,5381,54
34.86545157432556,2177,2048,2556,-129,0.01,0.002,5382,54
34.975451707839966,2195,2048,2542,-147,0.01,0.002,5361,54
35.08398509025574,2170,2048,2529,-122,0.01,0.002,5384,54
35.19298505783081,2179,2048,2516,-131,0.01,0.002,5372,54
35.30200409889221,2173,2048,2504,-125,0.01,0.002,5376,54
35.41102933883667,2194,2048,2489,-146,0.01,0.002,5352,54
35.52002930641174,2175,2048,2476,-127,0.01,0.002,5368,54
35.629342794418335,2189,2048,2462,-141,0.01,0.002,5352,54
35.738343238830566,2165,2048,2451,-117,0.01,0.002,5373,54
35.8467755317688,2174,2048,2438,-126,0.01,0.002,5362,54
35.956775426864624,2171,2048,2426,-123,0.01,0.002,5362,54
36.065815687179565,2170,2048,2414,-122,0.01,0.002,5361,54
36.1748149394989,2171,2048,2401,-123,0.01,0.002,5357,54
36.283814907073975,2169,2048,2389,-121,0.01,0.002,5357,54
36.39281463623047,2186,2048,2375,-138,0.01,0.002,5337,53
36.50165152549744,2162,2048,2364,-114,0.01,0.002,5359,54
36.61075162887573,2169,2048,2352,-121,0.01,0.002,5349,53
36.719751834869385,2164,2048,2340,-116,0.01,0.002,5352,54
36.82875156402588,2165,2048,2329,-117,0.01,0.002,5349,53
36.93779945373535,2167,2048,2317,-119,0.01,0.002,5344,53
37.04687690734863,2179,2048,2304,-131,0.01,0.002,5330,53
37.15587663650513,2159,2048,2292,-111,0.01,0.002,5348,53
37.26515007019043,2166,2048,2281,-118,0.01,0.002,5338,53
37.37352132797241,2164,2048,2269,-116,0.01,0.002,5338,53
37.48302912712097,2162,2048,2258,-114,0.01,0.002,5338,53
37.592029094696045,2162,2048,2246,-114,0.01,0.002,5335,53
37.70102906227112,2164,2048,2235,-116,0.01,0.002,5331,53
37.80957388877869,2159,2048,2223,-111,0.01,0.002,5334,53
37.91896033287048,2159,2048,2212,-111,0.01,0.002,5332,53
38.027973890304565,2159,2048,2201,-111,0.01,0.002,5329,53
38.13700461387634,2157,2048,2190,-109,0.01,0.002,5329,53
38.24600529670715,2157,2048,2179,-109,0.01,0.002,5327,53
38.35500478744507,2159,2048,2168,-111,0.01,0.002,5323,53
38.46381711959839,2152,2048,2158,-104,0.01,0.002,5328,53
38.572869539260864,2160,2048,2147,-112,0.01,0.002,5317,53
38.68186950683594,2154,2048,2136,-106,0.01,0.002,5321,53
38.7909152507782,2169,2048,2124,-121,0.01,0.002,5304,53
38.900171995162964,2146,2048,2114,-98,0.01,0.002,5325,53
39.009493350982666,2154,2048,2104,-106,0.01,0.002,5315,53
39.11849355697632,2150,2048,2093,-102,0.01,0.002,5317,53
39.22749352455139,2155,2048,2083,-107,0.01,0.002,5310,53
39.33695435523987,2150,2048,2073,-102,0.01,0.002,5313,53
39.445955991744995,2165,2048,2061,-117,0.01,0.002,5295,53
39.55497193336487,2148,2048,2051,-100,0.01,0.002,5310,53
39.66412377357483,2153,2048,2040,-105,0.01,0.002,5303,53
39.77212357521057,2147,2048,2030,-99,0.01,0.002,5307,53
39.88215708732605,2168,2048,2018,-120,0.01,0.002,5284,53
39.9911572933197,2137,2048,2010,-89,0.01,0.002,5313,53
40.099613666534424,2150,2048,1999,-102,0.01,0.002,5298,53
40.20872402191162,2149,2048,1989,-101,0.01,0.002,5297,53
40.317824840545654,2145,2048,1980,-97,0.01,0.002,5299,53
40.42682147026062,2165,2048,1968,-117,0.01,0.002,5277,53
40.53619861602783,2138,2048,1959,-90,0.01,0.002,5302,53
40.64554047584534,2164,2048,1947,-116,0.01,0.002,5274,53
40.75357437133789,2134,2048,1939,-86,0.01,0.002,5302,53
40.86359906196594,2148,2048,1929,-100,0.01,0.002,5286,53
40.972618103027344,2143,2048,1919,-95,0.01,0.002,5289,53
41.08168315887451,2142,2048,1910,-94,0.01,0.002,5288,53
41.19068241119385,2159,2048,1899,-111,0.01,0.002,5269,53
41.29876947402954,2133,2048,1890,-85,0.01,0.002,5293,53
41.40876841545105,2159,2048,1879,-111,0.01,0.002,5265,53
41.5177686214447,2134,2048,1870,-86,0.01,0.002,5288,53
41.626819372177124,2158,2048,1859,-110,0.01,0.002,5262,53
41.735819816589355,2132,2048,1851,-84,0.01,0.002,5286,53
41.84481906890869,2158,2048,1840,-110,0.01,0.002,5258,53
41.953819036483765,2130,2048,1832,-82,0.01,0.002,5284,53
42.062864780426025,2154,2048,1821,-106,0.01,0.002,5258,53
42.172024726867676,2130,2048,1813,-82,0.01,0.002,5281,53
42.280457496643066,2155,2048,1802,-107,0.01,0.002,5254,53
42.38945722579956,2125,2048,1795,-77,0.01,0.002,5282,53
42.49847340583801,2154,2048,1784,-106,0.01,0.002,5251,53
