time_s,mcu_tick_ms,adc,target,integral,error,kp,ki,output_x100,duty
14.023032903671265,13549,2198,2400,962,202,0.01,0.002,5394,54
14.133031368255615,13659,2179,2400,984,221,0.01,0.002,5418,54
14.243029356002808,13769,2190,2400,1005,210,0.01,0.002,5411,54
14.353041172027588,13879,2188,2400,1026,212,0.01,0.002,5417,54
14.46319580078125,13989,2209,2400,1045,191,0.01,0.002,5400,54
14.573193550109863,14099,2201,2400,1065,199,0.01,0.002,5412,54
14.683226108551025,14209,2187,2400,1086,213,0.01,0.002,5430,54
14.793243169784546,14319,2195,2400,1107,205,0.01,0.002,5426,54
14.902786493301392,14429,2213,2400,1125,187,0.01,0.002,5412,54
15.013296365737915,14539,2206,2400,1145,194,0.01,0.002,5423,54
15.123293399810791,14649,2209,2400,1164,191,0.01,0.002,5424,54
15.233291387557983,14759,2210,2400,1183,190,0.01,0.002,5427,54
15.343320846557617,14869,2213,2400,1202,187,0.01,0.002,5427,54
15.453489780426025,14979,2215,2400,1220,185,0.01,0.002,5429,54
15.562984704971313,15089,2214,2400,1239,186,0.01,0.002,5434,54
15.672982454299927,15199,2214,2400,1257,186,0.01,0.002,5438,54
15.78298044204712,15309,2218,2400,1275,182,0.01,0.002,5437,54
15.893051624298096,15419,2217,2400,1294,183,0.01,0.002,5442,54
16.00404953956604,15529,2214,2400,1312,186,0.01,0.002,5449,54
16.1135573387146,15639,2203,2400,1332,197,0.01,0.002,5464,55
16.22355556488037,15749,2206,2400,1351,194,0.01,0.002,5464,55
16.33406114578247,15859,2231,2400,1368,169,0.01,0.002,5443,54
16.44405961036682,15969,2218,2400,1387,182,0.01,0.002,5459,55
16.554059982299805,16079,2225,2400,1404,175,0.01,0.002,5456,55
16.664055585861206,16189,2207,2400,1423,193,0.01,0.002,5478,55
16.77405333518982,16299,2216,2400,1442,184,0.01,0.002,5472,55
16.88405132293701,16409,2229,2400,1459,171,0.01,0.002,5463,55
16.99435305595398,16519,2208,2400,1478,192,0.01,0.002,5488,55
17.103728771209717,16629,2218,2400,1496,182,0.01,0.002,5481,55
17.213876485824585,16739,2235,2400,1513,165,0.01,0.002,5468,55
17.323891639709473,16849,2229,2400,1530,171,0.01,0.002,5477,55
17.43392252922058,16959,2232,2400,1547,168,0.01,0.002,5477,55
17.54475688934326,17069,2214,2400,1565,186,0.01,0.002,5499,55
17.654754638671875,17179,2223,2400,1583,177,0.01,0.002,5494,55
17.76478910446167,17289,2218,2400,1601,182,0.01,0.002,5502,55
17.874825477600098,17399,2225,2400,1619,175,0.01,0.002,5499,55
17.984735250473022,17509,2242,2400,1634,158,0.01,0.002,5485,55
18.09502339363098,17619,2237,2400,1651,163,0.01,0.002,5493,55
18.205018758773804,17729,2218,2400,1669,182,0.01,0.002,5516,55
18.315041065216064,17839,2233,2400,1686,167,0.01,0.002,5504,55
18.425039052963257,17949,2241,2400,1702,159,0.01,0.002,5499,55
18.53511095046997,18059,2243,2400,1717,157,0.01,0.002,5501,55
18.645349979400635,18169,2222,2400,1735,178,0.01,0.002,5525,55
18.754963397979736,18279,2235,2400,1752,165,0.01,0.002,5515,55
18.864824295043945,18389,2232,2400,1768,168,0.01,0.002,5522,55
18.974822282791138,18499,2249,2400,1783,151,0.01,0.002,5508,55
19.08518624305725,18609,2228,2400,1801,172,0.01,0.002,5532,55
19.19549560546875,18719,2234,2400,1817,166,0.01,0.002,5530,55
19.3051495552063,18829,2252,2400,1832,148,0.01,0.002,5515,55
19.41514754295349,18939,2245,2400,1848,155,0.01,0.002,5525,55
19.525534629821777,19049,2231,2400,1864,169,0.01,0.002,5542,55
19.635542154312134,19159,2238,2400,1881,162,0.01,0.002,5538,55
19.745540380477905,19269,2240,2400,1897,160,0.01,0.002,5539,55
19.855892181396484,19379,2257,2400,1911,143,0.01,0.002,5525,55
19.965476274490356,19489,2235,2400,1927,165,0.01,0.002,5551,56
20.075706481933594,19599,2242,2400,1943,158,0.01,0.002,5547,55
20.185320615768433,19709,2259,2400,1957,141,0.01,0.002,5533,55
20.295666933059692,19819,2253,2400,1972,147,0.01,0.002,5542,55
20.406104564666748,19929,2238,2400,1988,162,0.01,0.002,5560,56
20.51638960838318,20039,2245,2400,2004,155,0.01,0.002,5556,56
20.626387357711792,20149,2247,2400,2019,153,0.01,0.002,5557,56
20.735764265060425,20259,2265,2400,2033,135,0.01,0.002,5542,55
20.845762252807617,20369,2238,2400,2049,162,0.01,0.002,5572,56
20.956761598587036,20479,2269,2400,2062,131,0.01,0.002,5543,55
21.066083192825317,20589,2257,2400,2076,143,0.01,0.002,5558,56
21.176118850708008,20699,2247,2400,2091,153,0.01,0.002,5571,56
21.286117553710938,20809,2251,2400,2106,149,0.01,0.002,5570,56
21.396114349365234,20919,2270,2400,2119,130,0.01,0.002,5554,56
21.506150484085083,21029,2243,2400,2135,157,0.01,0.002,5584,56
21.616379976272583,21139,2255,2400,2150,145,0.01,0.002,5575,56
21.726378202438354,21249,2271,2400,2162,129,0.01,0.002,5562,56
21.836706399917603,21359,2265,2400,2176,135,0.01,0.002,5570,56
21.946987867355347,21469,2250,2400,2191,150,0.01,0.002,5588,56
22.0571608543396,21579,2276,2400,2203,124,0.01,0.002,5565,56
22.16715908050537,21689,2265,2400,2217,135,0.01,0.002,5578,56
22.277157068252563,21799,2255,2400,2231,145,0.01,0.002,5591,56
22.387154817581177,21909,2277,2400,2244,123,0.01,0.002,5572,56
22.49715304374695,22019,2269,2400,2257,131,0.01,0.002,5582,56
22.60715079307556,22129,2255,2400,2271,145,0.01,0.002,5599,56
22.717449426651,22239,2284,2400,2283,116,0.01,0.002,5573,56
22.826719999313354,22349,2267,2400,2296,133,0.01,0.002,5592,56
22.936718225479126,22459,2257,2400,2310,143,0.01,0.002,5605,56
23.047718286514282,22569,2266,2400,2324,134,0.01,0.002,5599,56
23.156782627105713,22679,2284,2400,2335,116,0.01,0.002,5583,56
23.26679491996765,22789,2257,2400,2350,143,0.01,0.002,5613,56
23.37730097770691,22899,2266,2400,2363,134,0.01,0.002,5607,56
23.487558126449585,23009,2283,2400,2375,117,0.01,0.002,5592,56
23.597772121429443,23119,2260,2400,2389,140,0.01,0.002,5618,56
23.707769870758057,23229,2289,2400,2400,111,0.01,0.002,5591,56
23.81770658493042,23339,2276,2400,2412,124,0.01,0.002,5607,56
23.92775797843933,23449,2286,2400,2424,114,0.01,0.002,5599,56
24.037949323654175,23559,2262,2400,2438,138,0.01,0.002,5626,56
24.14794683456421,23669,2293,2400,2448,107,0.01,0.002,5597,56
24.2579448223114,23779,2280,2400,2460,120,0.01,0.002,5612,56
24.368193864822388,23889,2271,2400,2473,129,0.01,0.002,5624,56
24.47823143005371,23999,2291,2400,2484,109,0.01,0.002,5606,56
24.588228940963745,24109,2284,2400,2496,116,0.01,0.002,5615,56
24.69775700569153,24219,2271,2400,2509,129,0.01,0.002,5631,56
24.808310747146606,24329,2272,2400,2521,128,0.01,0.002,5632,56
24.917994022369385,24439,2293,2400,2532,107,0.01,0.002,5614,56
25.027991771697998,24549,2266,2400,2545,134,0.01,0.002,5643,56
25.138278245925903,24659,2276,2400,2558,124,0.01,0.002,5636,56
25.248659133911133,24769,2299,2400,2568,101,0.01,0.002,5615,56
25.358243465423584,24879,2286,2400,2579,114,0.01,0.002,5630,56
25.468241453170776,24989,2274,2400,2592,126,0.01,0.002,5644,56
25.57828164100647,25099,2277,2400,2604,123,0.01,0.002,5644,56
25.688279628753662,25209,2297,2400,2615,103,0.01,0.002,5626,56
25.798307180404663,25319,2273,2400,2627,127,0.01,0.002,5653,57
25.908304929733276,25429,2300,2400,2637,100,0.01,0.002,5628,56
26.018303155899048,25539,2292,2400,2648,108,0.01,0.002,5638,56
26.12830090522766,25649,2280,2400,2660,120,0.01,0.002,5652,57
26.238315105438232,25759,2301,2400,2670,99,0.01,0.002,5633,56
26.349313020706177,25869,2293,2400,2681,107,0.01,0.002,5643,56
26.45831060409546,25979,2278,2400,2693,122,0.01,0.002,5661,57
26.568387985229492,26089,2285,2400,2704,115,0.01,0.002,5656,57
26.678385734558105,26199,2304,2400,2714,96,0.01,0.002,5639,56
26.789174556732178,26309,2280,2400,2726,120,0.01,0.002,5665,57
26.899315118789673,26419,2288,2400,2737,112,0.01,0.002,5660,57
27.008716821670532,26529,2303,2400,2747,97,0.01,0.002,5646,56
27.118712425231934,26639,2282,2400,2759,118,0.01,0.002,5670,57
